cement,water,superplastic,age,strength
389.9,145.9,22.0,3.0,4
157.0,192.0,0.0,90.0,4
296.0,192.0,0.0,7.0,1
230.0,195.5,4.6,28.0,2
359.0,154.0,10.9,28.0,5
374.0,170.1,10.1,56.0,5
102.0,192.0,0.0,7.0,1
202.0,206.0,1.7,3.0,1
350.0,203.0,0.0,14.0,2
236.0,192.0,0.0,28.0,3
252.0,185.0,0.0,7.0,1
252.3,146.3,14.2,100.0,5
336.5,181.9,3.4,28.0,4
362.6,164.9,11.6,56.0,5
218.2,140.8,11.9,56.0,5
315.0,145.0,5.9,28.0,5
159.0,201.0,7.0,28.0,3
154.8,193.3,9.1,28.0,2
281.0,186.0,0.0,28.0,2
231.8,174.0,6.7,14.0,2
318.8,155.7,14.3,91.0,5
266.0,228.0,0.0,129.5,5
277.0,191.0,0.0,129.5,3
166.8,203.5,0.0,28.0,3
159.8,168.4,12.2,28.0,3
397.0,185.7,0.0,7.0,2
231.8,174.0,6.7,100.0,4
164.6,181.6,11.7,28.0,1
122.6,203.5,0.0,28.0,2
136.4,171.6,10.4,28.0,2
190.0,228.0,0.0,129.5,4
337.9,174.9,9.5,56.0,5
349.0,192.0,0.0,90.0,3
184.0,213.0,6.0,28.0,2
424.0,178.0,8.5,7.0,3
379.5,153.9,15.9,28.0,5
212.0,159.0,7.8,3.0,1
156.0,180.0,11.0,28.0,3
136.0,199.0,6.0,28.0,2
246.8,143.3,12.0,100.0,5
203.5,185.7,0.0,7.0,1
385.0,186.0,0.0,3.0,1
181.4,169.6,7.6,3.0,1
254.0,198.0,0.0,90.0,2
359.0,154.0,10.9,3.0,2
230.0,195.5,4.6,100.0,3
382.0,186.0,0.0,7.0,2
220.8,185.7,0.0,28.0,2
313.3,178.5,8.0,28.0,3
167.4,175.5,7.8,56.0,5
144.0,192.0,8.0,28.0,2
310.0,192.0,0.0,90.0,3
425.0,151.4,18.6,56.0,5
108.3,203.5,0.0,3.0,1
214.9,155.6,9.6,3.0,1
469.0,137.8,25.0,56.0,5
310.0,192.0,0.0,28.0,2
522.0,146.0,0.0,7.0,5
236.0,194.0,0.0,3.0,1
213.7,181.7,6.9,3.0,1
250.2,203.5,0.0,3.0,1
149.0,192.0,8.0,28.0,2
439.0,186.0,11.1,56.0,5
313.0,178.0,8.0,28.0,4
427.5,228.0,0.0,90.0,4
165.0,163.8,0.0,28.0,2
322.5,185.8,8.5,28.0,5
393.0,192.0,0.0,90.0,4
362.6,164.9,11.6,91.0,5
122.6,203.5,0.0,3.0,1
213.7,154.8,10.2,28.0,4
200.0,180.0,0.0,28.0,1
108.3,203.5,0.0,90.0,2
213.8,181.7,6.7,28.0,4
290.4,168.1,9.4,28.0,3
153.0,200.0,6.0,28.0,2
229.7,195.2,6.1,56.0,3
251.4,192.9,5.8,28.0,3
322.0,203.0,0.0,14.0,2
525.0,189.0,0.0,129.5,5
389.9,145.9,22.0,56.0,5
252.3,146.3,14.2,14.0,4
475.0,181.1,8.9,3.0,3
259.9,170.6,10.4,28.0,4
310.0,192.0,0.0,7.0,1
266.0,228.0,0.0,129.5,5
236.9,232.35,6.0,28.0,2
366.0,191.3,6.6,28.0,5
333.0,192.0,0.0,3.0,1
326.0,174.0,9.0,28.0,5
145.9,202.5,3.4,28.0,3
133.0,192.0,0.0,7.0,1
251.4,188.5,5.8,56.0,3
500.0,200.0,0.0,129.5,5
154.8,193.3,9.1,28.0,1
349.0,192.0,0.0,120.0,4
389.9,145.9,22.0,28.0,5
162.0,178.8,18.8,28.0,3
277.1,160.6,11.8,100.0,5
166.0,183.0,13.0,28.0,3
277.0,190.6,7.0,28.0,4
439.0,186.0,11.1,28.0,4
540.0,173.0,0.0,3.0,4
480.0,192.0,0.0,28.0,3
382.0,186.0,0.0,28.0,4
475.0,228.0,0.0,90.0,2
143.0,191.0,8.0,28.0,5
203.5,203.5,0.0,90.0,5
374.0,170.1,10.1,91.0,1
181.9,185.7,0.0,7.0,2
153.0,178.0,8.0,28.0,3
450.1,200.0,3.0,28.0,1
238.0,186.0,0.0,28.0,5
380.0,228.0,0.0,90.0,5
469.0,137.8,25.0,91.0,5
528.0,185.0,6.9,28.0,2
238.2,185.7,0.0,28.0,1
186.2,185.7,0.0,28.0,3
212.6,159.4,10.4,28.0,4
475.0,228.0,0.0,129.5,1
198.6,192.0,0.0,3.0,5
491.0,201.0,3.9,7.0,5
277.1,160.6,11.8,56.0,4
342.0,228.0,0.0,129.5,2
387.0,157.0,13.9,7.0,2
152.6,200.0,6.3,28.0,3
281.0,185.0,0.0,28.0,5
198.6,192.0,0.0,90.0,3
491.0,210.0,3.9,28.0,1
290.4,168.1,9.4,14.0,4
144.0,158.0,18.0,28.0,1
246.8,143.3,12.0,14.0,2
252.5,185.7,0.0,28.0,5
236.0,193.0,0.0,129.5,1
540.0,173.0,0.0,129.5,1
295.0,185.0,0.0,7.0,3
150.7,166.7,15.6,28.0,2
218.9,158.5,11.3,28.0,5
233.8,197.9,4.6,14.0,3
249.1,158.1,12.8,100.0,5
339.0,185.0,0.0,28.0,3
505.0,195.0,0.0,28.0,3
230.0,195.5,4.6,56.0,4
374.0,170.1,10.1,3.0,1
139.6,192.0,0.0,129.5,4
148.1,158.1,16.1,28.0,2
190.3,161.9,9.9,100.0,3
376.0,214.6,0.0,14.0,1
251.4,188.5,6.4,28.0,4
157.0,192.0,0.0,7.0,3
304.0,228.0,0.0,28.0,3
167.4,175.5,7.8,14.0,1
304.0,214.0,6.0,28.0,1
182.0,170.2,8.2,3.0,2
252.0,185.0,0.0,28.0,3
323.7,183.8,10.3,3.0,5
350.0,203.0,0.0,90.0,5
213.5,159.2,11.7,100.0,2
286.3,144.7,11.2,91.0,4
143.7,191.6,8.5,28.0,3
236.0,192.0,0.0,90.0,4
213.7,154.8,10.2,14.0,4
181.4,169.6,7.6,100.0,3
249.1,158.1,12.8,56.0,3
193.5,185.7,0.0,28.0,4
194.7,170.2,7.5,28.0,5
289.0,195.0,6.0,28.0,5
298.0,201.0,6.0,28.0,5
192.0,192.0,0.0,90.0,4
213.5,159.2,11.7,56.0,3
190.0,228.0,0.0,28.0,1
173.0,192.0,0.0,90.0,3
213.5,154.6,11.7,3.0,4
173.8,172.3,9.7,28.0,1
284.0,168.0,7.0,28.0,5
135.7,185.7,0.0,7.0,2
246.8,143.3,12.0,28.0,1
136.0,172.0,10.0,28.0,2
139.6,192.0,0.0,3.0,4
250.0,187.4,5.5,14.0,2
475.0,228.0,0.0,129.5,3
149.0,193.0,6.0,28.0,1
277.0,191.0,0.0,129.5,4
225.0,181.0,0.0,7.0,5
289.0,194.9,5.5,28.0,2
480.0,192.0,0.0,90.0,4
153.0,192.0,0.0,90.0,1
231.8,174.0,6.7,56.0,1
225.0,181.0,0.0,28.0,3
190.3,166.6,9.9,14.0,4
172.4,156.8,4.1,28.0,3
266.0,228.0,0.0,129.5,3
212.5,159.3,8.7,28.0,5
172.4,156.8,4.1,56.0,2
388.6,157.9,12.1,28.0,1
277.0,191.0,0.0,28.0,3
141.3,203.5,0.0,3.0,3
339.0,197.0,0.0,90.0,1
289.0,192.0,0.0,90.0,4
154.8,193.3,9.1,28.0,2
480.0,192.0,0.0,28.0,2
198.6,192.0,0.0,28.0,1
194.7,165.6,7.5,28.0,5
349.0,192.0,0.0,7.0,2
366.0,191.0,7.0,28.0,4
236.0,194.0,0.0,90.0,4
305.3,203.5,0.0,28.0,3
213.8,181.7,6.7,56.0,1
218.2,140.8,11.9,14.0,3
238.2,185.7,0.0,7.0,2
159.0,176.0,11.0,28.0,1
102.0,192.0,0.0,90.0,4
170.3,185.7,0.0,7.0,5
425.0,153.5,16.5,7.0,2
342.0,228.0,0.0,129.5,5
173.5,164.8,6.5,3.0,5
330.5,194.9,8.1,28.0,3
318.8,155.7,14.3,28.0,3
304.8,196.0,9.8,28.0,3
266.0,178.0,10.0,28.0,3
165.0,175.1,8.1,14.0,3
139.6,192.0,0.0,90.0,1
150.0,174.0,12.0,28.0,4
310.0,167.9,10.0,28.0,3
148.0,181.0,15.0,28.0,1
203.5,203.5,0.0,28.0,5
212.0,159.0,7.8,14.0,2
102.0,192.0,0.0,3.0,3
305.3,203.5,0.0,90.0,5
183.9,203.5,0.0,28.0,5
296.0,221.0,11.0,28.0,1
275.1,159.5,9.9,100.0,5
424.0,178.0,8.5,56.0,5
166.1,176.5,4.5,3.0,4
297.8,201.3,6.0,28.0,1
321.3,190.5,4.6,28.0,5
333.0,192.0,0.0,90.0,5
102.0,192.0,0.0,28.0,1
388.6,157.9,12.1,91.0,1
480.0,192.0,0.0,90.0,4
134.7,180.2,10.0,28.0,5
250.0,187.4,5.5,3.0,4
284.0,179.0,5.5,56.0,1
393.0,192.0,0.0,7.0,5
475.0,181.1,8.9,91.0,1
212.5,159.3,8.7,100.0,1
251.4,188.5,5.8,3.0,5
275.1,159.5,9.9,28.0,2
166.8,203.5,0.0,3.0,5
173.8,172.3,9.7,3.0,3
374.0,170.1,10.1,28.0,4
168.0,127.14999999999998,5.7,28.0,5
425.0,153.5,16.5,28.0,2
331.0,192.0,0.0,120.0,1
525.0,189.0,0.0,14.0,1
446.0,162.0,10.3,28.0,3
300.0,212.0,10.0,28.0,3
213.8,181.7,6.7,14.0,3
255.0,192.0,0.0,3.0,3
275.1,159.5,9.9,14.0,3
382.5,185.7,0.0,28.0,4
359.0,154.0,10.9,7.0,5
190.3,166.6,9.9,56.0,4
290.2,185.7,0.0,28.0,4
380.0,228.0,0.0,90.0,4
165.0,175.1,8.1,100.0,3
375.0,127.14999999999998,23.4,7.0,5
331.0,192.0,0.0,129.5,5
277.0,191.0,7.0,28.0,5
321.0,182.0,11.0,28.0,2
313.3,175.5,8.6,56.0,3
522.0,146.0,0.0,28.0,5
446.0,162.0,11.6,56.0,2
339.2,185.7,0.0,7.0,4
286.3,144.7,11.2,7.0,2
288.0,192.0,0.0,90.0,3
212.6,159.4,10.4,14.0,4
400.0,187.0,0.0,28.0,3
155.2,193.8,9.2,28.0,3
349.0,192.0,0.0,28.0,4
334.0,189.0,15.3,28.0,3
168.0,127.14999999999998,5.7,100.0,3
255.5,185.7,0.0,28.0,1
427.5,228.0,0.0,129.5,2
439.0,186.0,11.1,3.0,3
261.9,195.4,5.0,28.0,5
485.0,146.0,0.0,28.0,1
194.7,165.6,7.5,3.0,5
148.0,171.0,2.0,28.0,4
288.0,192.0,0.0,28.0,2
359.0,154.0,10.9,56.0,5
356.0,193.0,11.0,28.0,4
382.0,186.0,0.0,7.0,4
439.0,186.0,11.1,91.0,2
264.5,195.5,5.9,28.0,3
190.7,162.1,7.8,14.0,2
173.8,172.3,9.7,100.0,3
317.9,209.7,5.7,28.0,3
288.4,177.4,7.0,28.0,4
359.0,154.0,10.9,3.0,3
237.5,228.0,0.0,129.5,5
133.0,192.0,0.0,28.0,1
427.5,228.0,0.0,28.0,3
162.0,216.0,10.0,28.0,1
251.8,146.1,12.4,56.0,4
425.0,153.5,16.5,56.0,3
491.0,210.0,3.9,7.0,3
275.0,162.0,10.4,28.0,5
145.4,201.7,7.8,28.0,4
277.2,160.7,11.2,3.0,1
212.5,159.3,8.7,3.0,2
218.9,158.5,11.3,100.0,2
297.2,174.8,9.5,14.0,2
333.0,192.0,0.0,28.0,5
280.0,172.0,9.0,28.0,3
178.0,179.9,3.6,100.0,3
339.0,185.0,0.0,28.0,1
500.0,200.0,0.0,1.0,2
362.6,164.9,11.6,7.0,2
375.0,127.14999999999998,23.4,3.0,3
382.0,185.0,0.0,7.0,1
451.0,165.0,11.3,28.0,5
251.8,146.1,12.4,28.0,1
212.0,203.5,0.0,90.0,1
153.0,192.0,0.0,7.0,3
318.8,155.7,14.3,3.0,4
296.0,186.0,0.0,28.0,2
313.8,169.9,10.1,28.0,3
164.0,181.0,13.0,28.0,5
297.2,174.8,9.5,56.0,1
231.8,174.0,6.7,3.0,5
203.5,203.5,0.0,7.0,2
310.0,168.0,22.0,28.0,5
349.0,192.0,0.0,90.0,3
480.0,192.0,0.0,3.0,1
298.1,163.6,12.8,28.0,5
446.0,162.0,11.6,28.0,5
381.4,185.7,0.0,7.0,4
475.0,162.0,9.5,28.0,1
500.0,200.0,0.0,3.0,4
261.0,201.0,9.0,28.0,5
359.0,154.0,10.9,56.0,5
237.5,228.0,0.0,90.0,2
393.0,192.0,0.0,3.0,1
286.3,144.7,11.2,56.0,4
213.7,181.7,6.9,56.0,1
173.8,172.3,9.7,56.0,5
238.1,186.7,7.0,3.0,3
251.4,188.5,6.4,14.0,1
387.0,157.0,13.9,56.0,1
531.3,141.8,25.0,7.0,4
304.0,228.0,0.0,129.5,1
525.0,189.0,0.0,90.0,4
145.0,184.0,5.7,28.0,3
212.0,203.5,0.0,3.0,4
374.0,170.1,10.1,7.0,2
165.0,182.0,12.0,28.0,2
424.0,168.0,8.9,28.0,4
150.0,173.8,11.9,28.0,3
212.0,203.5,0.0,7.0,1
272.8,185.7,0.0,7.0,4
284.0,179.0,5.5,28.0,2
116.0,192.0,0.0,3.0,2
260.0,171.0,10.0,28.0,4
376.0,214.6,0.0,28.0,2
379.5,153.9,15.9,7.0,3
233.8,197.9,4.6,56.0,4
181.9,185.7,0.0,28.0,2
500.0,200.0,0.0,90.0,1
167.0,164.0,7.9,14.0,1
212.6,159.4,10.4,3.0,5
297.2,174.8,9.5,28.0,5
153.1,178.5,8.0,28.0,3
173.0,192.0,0.0,28.0,4
525.0,189.0,0.0,7.0,2
289.0,192.0,0.0,28.0,5
228.0,185.7,0.0,28.0,5
182.0,170.2,8.2,56.0,4
144.0,178.0,7.0,28.0,3
155.0,193.0,9.0,28.0,4
251.4,188.5,6.4,3.0,5
475.0,181.1,8.9,56.0,4
190.0,228.0,0.0,129.5,3
157.0,192.0,0.0,28.0,5
355.0,145.0,13.1,28.0,5
202.0,206.0,1.7,56.0,3
446.0,162.0,11.6,56.0,1
425.0,151.4,18.6,91.0,3
190.7,162.1,7.8,100.0,2
325.0,184.0,0.0,28.0,1
251.4,188.5,6.4,100.0,5
525.0,189.0,0.0,129.5,3
212.5,159.3,8.7,56.0,1
149.0,176.0,13.0,28.0,2
375.0,127.14999999999998,23.4,56.0,2
173.5,164.8,6.5,100.0,5
165.0,163.8,0.0,56.0,1
168.0,127.14999999999998,5.7,3.0,1
157.0,200.0,9.0,28.0,3
272.6,198.7,10.6,28.0,1
251.8,146.1,12.4,100.0,2
322.0,203.0,0.0,28.0,3
238.1,185.7,0.0,7.0,1
424.0,168.0,8.9,56.0,3
339.0,197.0,0.0,129.5,5
331.0,192.0,0.0,3.0,3
133.1,195.7,3.1,28.0,4
212.1,180.3,5.7,28.0,5
165.0,175.1,8.1,56.0,1
145.0,181.0,11.0,28.0,3
277.0,191.0,0.0,3.0,5
339.0,197.0,0.0,129.5,5
143.6,158.4,17.9,28.0,5
210.7,185.7,0.0,7.0,1
260.9,200.6,8.6,28.0,2
305.3,203.5,0.0,3.0,3
166.1,176.5,4.5,100.0,1
500.0,151.0,9.0,28.0,4
475.0,228.0,0.0,7.0,5
229.7,195.2,6.1,100.0,4
439.0,186.0,11.1,7.0,4
393.0,192.0,0.0,3.0,4
238.1,186.7,7.0,28.0,2
491.0,201.0,3.9,56.0,1
491.0,210.0,3.9,56.0,3
388.6,157.9,12.1,56.0,2
295.8,185.7,0.0,7.0,3
250.0,187.4,5.5,56.0,5
339.0,197.0,0.0,14.0,1
332.5,228.0,0.0,129.5,5
167.0,164.0,7.9,3.0,5
380.0,228.0,0.0,129.5,1
380.0,228.0,0.0,129.5,2
288.0,177.0,7.0,28.0,1
212.6,159.4,10.4,100.0,3
200.0,192.0,0.0,90.0,5
387.0,157.0,13.9,3.0,1
296.0,186.0,0.0,7.0,4
322.2,196.0,10.4,28.0,4
251.4,188.5,5.8,14.0,2
446.0,162.0,11.6,3.0,1
304.0,228.0,0.0,129.5,3
310.0,192.0,0.0,3.0,3
405.0,175.0,0.0,28.0,3
321.0,190.0,5.0,28.0,2
275.0,183.0,0.0,7.0,1
149.0,182.9,7.1,28.0,2
186.2,185.7,0.0,7.0,3
446.0,162.0,11.6,7.0,5
401.8,147.4,11.4,7.0,5
331.0,192.0,0.0,3.0,1
198.6,192.0,0.0,129.5,3
222.4,189.3,4.5,100.0,2
173.8,172.3,9.7,14.0,5
255.0,192.0,0.0,28.0,1
255.3,188.6,6.5,28.0,3
322.0,196.0,10.0,28.0,5
266.2,177.9,10.4,28.0,2
480.0,192.0,0.0,3.0,3
250.0,191.8,5.3,3.0,1
190.7,162.1,7.8,28.0,2
214.9,155.6,9.6,14.0,2
277.2,160.7,11.2,100.0,1
385.0,158.0,20.0,28.0,2
307.0,193.0,0.0,3.0,1
295.7,171.5,8.9,28.0,2
246.8,143.3,12.0,3.0,1
525.0,189.0,0.0,28.0,3
250.0,182.0,0.0,7.0,1
251.4,192.9,5.8,56.0,2
540.0,173.0,0.0,14.0,2
190.3,166.6,9.9,28.0,4
387.0,157.0,14.3,7.0,3
173.0,192.0,0.0,7.0,1
166.1,176.5,4.5,56.0,1
310.0,192.0,0.0,28.0,3
254.0,198.0,0.0,3.0,3
190.3,161.9,9.9,14.0,1
145.0,202.0,8.0,28.0,1
277.1,160.6,11.8,3.0,2
289.0,192.0,0.0,3.0,2
339.2,185.7,0.0,28.0,2
200.0,180.0,0.0,7.0,4
295.8,185.7,0.0,28.0,4
230.0,195.5,4.6,14.0,3
425.0,151.4,18.6,7.0,3
238.1,186.7,7.0,56.0,3
284.0,179.0,5.5,3.0,1
349.0,192.0,0.0,3.0,1
152.0,168.0,18.0,28.0,3
160.2,203.2,11.3,28.0,1
202.0,206.0,1.7,7.0,3
194.7,170.2,7.5,3.0,3
156.0,221.0,7.0,28.0,1
222.4,189.3,4.5,14.0,5
143.8,178.1,7.5,28.0,2
168.9,158.3,10.8,100.0,1
266.0,228.0,0.0,90.0,3
194.7,165.6,7.5,56.0,1
349.0,192.0,0.0,28.0,1
380.0,228.0,0.0,7.0,1
151.0,167.0,12.0,28.0,2
376.0,214.6,0.0,3.0,3
212.0,159.0,7.8,28.0,2
310.0,192.0,0.0,3.0,5
307.0,193.0,0.0,129.5,3
166.0,183.2,12.7,28.0,4
252.5,185.7,0.0,7.0,4
475.0,181.1,8.9,28.0,5
229.7,195.2,6.1,28.0,3
158.8,185.7,0.0,7.0,3
139.9,200.3,7.4,28.0,2
349.0,192.0,0.0,3.0,1
157.0,192.0,0.0,3.0,2
122.6,203.5,0.0,7.0,2
218.9,158.5,11.3,14.0,4
331.0,192.0,0.0,90.0,5
295.0,185.0,0.0,28.0,3
173.5,164.8,6.5,56.0,5
374.3,190.2,6.7,28.0,2
287.3,187.6,9.2,28.0,4
298.1,186.4,6.1,28.0,3
190.0,228.0,0.0,129.5,1
350.0,186.0,0.0,28.0,1
303.6,213.5,6.2,28.0,3
350.0,203.0,0.0,28.0,5
168.9,158.3,10.8,3.0,1
339.0,185.0,0.0,7.0,5
252.3,146.3,14.2,3.0,5
380.0,228.0,0.0,129.5,1
500.0,200.0,0.0,129.5,2
249.1,158.1,12.8,28.0,3
167.0,164.0,7.9,56.0,2
381.4,185.7,0.0,28.0,3
500.0,200.0,0.0,28.0,5
212.0,203.5,0.0,28.0,1
255.0,192.0,0.0,7.0,1
220.8,185.7,0.0,7.0,5
192.0,192.0,0.0,28.0,4
213.7,154.8,10.2,100.0,5
190.3,161.9,9.9,3.0,1
540.0,162.0,2.5,28.0,1
214.9,155.6,9.6,28.0,4
289.0,192.0,0.0,7.0,2
108.3,203.5,0.0,28.0,5
210.7,185.7,0.0,28.0,3
170.3,185.7,0.0,28.0,4
140.0,232.35,6.0,28.0,1
540.0,173.0,0.0,90.0,2
135.7,185.7,0.0,28.0,4
150.9,166.6,11.6,28.0,2
469.0,137.8,25.0,7.0,4
290.4,168.1,9.4,100.0,4
167.0,164.0,7.9,100.0,2
250.2,203.5,0.0,7.0,3
236.0,194.0,0.0,28.0,1
192.0,192.0,0.0,7.0,1
333.0,167.0,17.9,28.0,4
158.8,185.7,0.0,28.0,3
252.3,146.3,14.2,28.0,3
446.0,162.0,11.6,7.0,3
254.0,198.0,0.0,129.5,3
349.0,192.0,0.0,129.5,2
213.5,159.2,11.7,3.0,3
251.4,188.5,5.8,28.0,4
194.7,170.2,7.5,56.0,2
135.0,196.0,6.0,28.0,5
277.1,160.6,11.8,28.0,3
251.4,188.5,5.8,100.0,3
387.0,157.0,14.3,3.0,3
525.0,189.0,0.0,3.0,4
151.0,167.0,16.0,28.0,3
146.5,201.9,8.8,28.0,2
313.3,178.5,8.0,28.0,4
250.2,203.5,0.0,28.0,3
374.0,190.0,7.0,28.0,2
146.0,202.0,3.0,28.0,3
168.9,158.3,10.8,28.0,4
212.1,180.3,5.7,14.0,3
400.0,187.0,0.0,7.0,3
212.6,159.4,10.4,56.0,3
275.0,183.0,0.0,28.0,2
540.0,173.0,0.0,129.5,2
376.0,214.6,0.0,56.0,1
314.0,170.0,10.0,28.0,1
298.0,164.0,13.0,28.0,1
251.4,192.9,5.8,100.0,1
296.0,221.4,10.5,28.0,1
251.4,192.9,5.8,14.0,3
153.0,192.0,0.0,3.0,2
314.0,178.9,8.0,28.0,5
190.3,166.6,9.9,100.0,2
446.0,162.0,11.6,3.0,3
307.0,193.0,0.0,90.0,3
516.0,162.0,8.3,28.0,3
168.0,127.14999999999998,5.7,56.0,3
427.5,228.0,0.0,7.0,3
