cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28.0,4
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14.0,2
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56.0,5
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28.0,3
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,2
531.3,0.0,0.0,141.8,25.0,852.1,893.7,91.0,5
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56.0,5
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,1
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0,4
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,3
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,4
331.0,0.0,0.0,192.0,0.0,978.0,825.0,129.5,3
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56.0,3
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28.0,3
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,3
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,2
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100.0,4
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14.0,3
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100.0,4
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3.0,2
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3.0,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100.0,3
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0,5
332.5,142.5,0.0,228.0,0.0,932.0,594.0,129.5,4
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0,2
237.0,92.0,71.0,232.35000000000002,6.0,853.0,695.0,28.0,2
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100.0,4
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100.0,5
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,4
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3.0,1
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,2
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28.0,2
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56.0,4
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14.0,3
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7.0,2
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3.0,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3.0,2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56.0,3
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28.0,2
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,3
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,3
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100.0,4
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0,1
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28.0,3
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28.0,5
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14.0,2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,3
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.0,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,5
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14.0,2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,129.5,4
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3.0,1
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,5
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,3
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28.0,3
237.5,237.5,0.0,228.0,0.0,932.0,594.0,129.5,3
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0,3
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,5
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28.0,3
380.0,0.0,0.0,228.0,0.0,932.0,670.0,129.5,5
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3.0,1
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,2
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28.0,1
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7.0,1
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,1
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28.0,3
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28.0,5
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,1
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28.0,2
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28.0,3
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,1
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3.0,1
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28.0,3
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28.0,3
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56.0,2
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14.0,3
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7.0,1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56.0,3
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,2
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28.0,4
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,5
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,3
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,3
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7.0,2
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28.0,5
375.0,93.8,0.0,127.14999999999998,23.4,852.1,969.0500000000002,91.0,5
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28.0,2
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28.0,3
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7.0,1
236.0,0.0,0.0,193.0,0.0,968.0,885.0,129.5,2
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,1
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0,5
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0,4
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28.0,4
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3.0,1
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,3
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28.0,3
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14.0,3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,3
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,4
302.0,0.0,0.0,203.0,0.0,974.0,817.0,129.5,2
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90.0,3
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7.0,3
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28.0,5
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28.0,4
380.0,95.0,0.0,228.0,0.0,932.0,594.0,129.5,4
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14.0,2
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28.0,3
322.0,0.0,0.0,203.0,0.0,974.0,800.0,129.5,2
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14.0,3
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,1
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28.0,2
531.3,0.0,0.0,141.8,25.0,852.1,893.7,28.0,5
198.6,132.4,0.0,192.0,0.0,978.4,825.5,129.5,4
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,129.5,5
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28.0,3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,5
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,1
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28.0,5
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28.0,3
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,1
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,4
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100.0,3
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56.0,3
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28.0,5
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,5
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56.0,4
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3.0,1
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28.0,4
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,4
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3.0,1
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,4
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,4
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7.0,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28.0,2
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,5
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,5
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,1
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3.0,1
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14.0,2
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28.0,3
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,1
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100.0,5
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28.0,4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,5
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56.0,5
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,5
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28.0,3
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0,2
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28.0,2
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14.0,2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,5
266.0,114.0,0.0,228.0,0.0,932.0,670.0,129.5,5
277.0,0.0,0.0,191.0,0.0,968.0,856.0,129.5,3
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,3
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28.0,3
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0,2
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100.0,4
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28.0,1
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28.0,2
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28.0,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,129.5,4
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,5
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90.0,3
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0,2
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7.0,3
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,5
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3.0,1
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0,3
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28.0,2
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100.0,5
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,1
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,1
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3.0,1
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90.0,2
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3.0,2
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100.0,3
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0,2
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,2
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28.0,3
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56.0,5
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28.0,2
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0,3
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,5
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.0,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3.0,1
469.0,117.2,0.0,137.8,25.0,852.1,840.5,56.0,5
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28.0,2
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7.0,5
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0,1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3.0,1
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3.0,1
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28.0,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,5
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28.0,4
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,4
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28.0,2
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28.0,5
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90.0,4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,5
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.0,1
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28.0,4
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28.0,1
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90.0,2
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28.0,4
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28.0,3
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,2
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56.0,3
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28.0,3
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,2
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,129.5,5
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,5
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14.0,4
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,3
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28.0,4
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7.0,1
266.0,114.0,0.0,228.0,0.0,932.0,670.0,129.5,5
236.9,91.7,71.5,232.35000000000002,6.0,852.9,695.4,28.0,2
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28.0,5
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,1
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,5
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0,3
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7.0,1
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56.0,3
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,129.5,5
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28.0,1
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120.0,4
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,5
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0,3
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100.0,5
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28.0,3
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28.0,4
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,4
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3.0,4
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28.0,3
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,4
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,2
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,5
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90.0,5
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,1
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,2
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,3
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,1
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28.0,5
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,5
469.0,117.2,0.0,137.8,25.0,852.1,840.5,91.0,5
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28.0,2
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,1
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,3
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28.0,4
475.0,0.0,0.0,228.0,0.0,932.0,594.0,129.5,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,5
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7.0,5
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56.0,4
342.0,38.0,0.0,228.0,0.0,932.0,670.0,129.5,2
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7.0,2
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,3
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0,5
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,3
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0,1
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14.0,4
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28.0,1
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14.0,2
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,5
236.0,0.0,0.0,193.0,0.0,968.0,885.0,129.5,1
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,129.5,1
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7.0,3
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28.0,2
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28.0,5
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14.0,3
249.1,0.0,98.8,158.1,12.8,987.8,889.0,100.0,5
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28.0,3
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28.0,3
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56.0,4
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,1
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,129.5,4
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28.0,2
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100.0,3
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14.0,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28.0,4
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,3
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,3
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14.0,1
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28.0,1
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3.0,2
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,5
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,5
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100.0,2
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,4
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28.0,3
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90.0,4
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14.0,4
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100.0,3
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56.0,3
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,4
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28.0,5
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28.0,5
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0,5
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90.0,4
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56.0,3
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,1
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90.0,3
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3.0,4
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28.0,1
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,5
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7.0,2
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28.0,1
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28.0,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,4
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,129.5,3
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28.0,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,129.5,4
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,5
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0,2
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,4
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,1
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56.0,1
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,3
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14.0,4
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28.0,3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,129.5,3
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28.0,5
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56.0,2
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28.0,3
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3.0,3
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90.0,1
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90.0,4
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28.0,2
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28.0,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28.0,5
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,2
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28.0,4
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,4
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28.0,3
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56.0,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14.0,3
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,2
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28.0,1
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,4
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7.0,5
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,129.5,5
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3.0,5
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28.0,3
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,3
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0,3
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,3
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14.0,3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,1
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28.0,4
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,3
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28.0,1
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28.0,5
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14.0,2
